Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
52,2001,NBA,1,10,BOS,Joe Johnson,20.003,G-F,us,University of Arkansas,2002,2018,1276,34.7,16,4,3.9,0.8,0.2,0.441,0.472,0.371,0.802,82.8,0.09
53,1999,NBA,1,10,ATL,Jason Terry,21.293,G,us,University of Arizona,2000,2018,1410,29.8,13.4,2.3,3.8,1.1,0.2,0.444,0.484,0.38,0.845,102,0.116
54,2006,NBA,1,11,ORL,J.J. Redick,22.009,G,us,Duke University,2007,2018,760,25.4,12.4,2,2,0.5,0.1,0.449,0.482,0.415,0.89,53.1,0.132
55,2007,NBA,1,12,PHI,Thaddeus Young,19.011,F,us,Georgia Institute of Technology,2008,2018,820,30.7,13.4,5.9,1.6,1.5,0.4,0.499,0.521,0.326,0.675,52.7,0.1
56,2001,NBA,1,13,HOU,Richard Jefferson,21.011,F,us,University of Arizona,2002,2018,1181,29,12.6,4,2,0.7,0.3,0.464,0.493,0.376,0.768,83,0.116
57,1999,NBA,1,13,SEA,Corey Maggette,19.235,F,us,Duke University,2000,2013,827,28.2,16,4.9,2.1,0.7,0.2,0.453,0.478,0.324,0.822,62.2,0.128
58,2001,NBA,1,14,GSW,Troy Murphy,21.061,F-C,us,University of Notre Dame,2002,2013,729,27.3,10.8,7.8,1.5,0.7,0.4,0.445,0.464,0.388,0.785,50.3,0.121
59,2011,NBA,1,15,IND,Kawhi Leonard,19.364,F,us,San Diego State University,2012,2018,407,30.4,16.3,6.2,2.3,1.8,0.7,0.495,0.537,0.386,0.846,56.3,0.219
60,2004,NBA,1,15,BOS,Al Jefferson,19.176,C-F,us,,2005,2018,915,28.7,15.7,8.4,1.5,0.7,1.2,0.499,0.501,0.121,0.711,71,0.13
61,2000,NBA,1,16,SAC,Hedo Turkoglu,21.107,F,tr,,2001,2015,997,26.8,11.1,4,2.8,0.8,0.3,0.426,0.45,0.384,0.784,63.3,0.114
62,1999,NBA,1,16,CHI,Metta World Peace,19.234,F,us,St. John's University,2000,2017,991,31.7,13.2,4.5,2.7,1.7,0.5,0.414,0.447,0.339,0.715,61.1,0.093
63,2005,NBA,1,17,IND,Danny Granger,22.075,F,us,University of New Mexico,2006,2015,586,31.5,16.8,4.9,1.9,1,0.8,0.434,0.463,0.38,0.848,48.5,0.126
64,2004,NBA,1,17,ATL,Josh Smith,18.206,F,us,,2005,2018,894,32.4,14.5,7.4,3.1,1.2,1.9,0.452,0.48,0.285,0.632,51,0.084
65,2004,NBA,1,18,NOH,J.R. Smith,18.293,G-F,us,,2005,2018,960,27.1,12.6,3.2,2.1,1,0.2,0.419,0.464,0.374,0.732,46.6,0.086
66,2003,NBA,1,18,NOH,David West,22.306,F-C,us,Xavier University,2004,2018,1034,28.2,13.6,6.4,2.2,0.7,0.8,0.495,0.499,0.265,0.817,85.9,0.141
67,1999,NBA,1,18,DEN,James Posey,22.173,F-G,us,Xavier University,2000,2011,864,26.9,8.6,4.7,1.6,1.1,0.3,0.41,0.467,0.349,0.82,51.6,0.107
68,2001,NBA,1,19,POR,Zach Randolph,19.351,F-C,us,Michigan State University,2002,2018,1116,31,16.6,9.1,1.8,0.7,0.3,0.471,0.481,0.273,0.764,81.1,0.112
69,2004,NBA,1,20,DEN,Jameer Nelson,22.141,G,us,Saint Joseph's University,2005,2018,878,27.9,11.3,3,5.1,0.9,0.1,0.436,0.474,0.368,0.81,48.3,0.094
70,2008,NBA,1,21,NJN,Ryan Anderson,20.056,F,us,University of California,2009,2018,622,26.4,12.8,5.4,0.9,0.5,0.3,0.423,0.471,0.382,0.855,47,0.137
71,2006,NBA,1,21,PHO,Rajon Rondo,20.131,G,us,University of Kentucky,2007,2018,779,31.8,10.5,4.8,8.5,1.7,0.1,0.463,0.486,0.309,0.604,57,0.111
